productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
248977,Virtual World Phoenix - Fanfan,Virtual World Phoenix Fanfan,https://tcgplayer-cdn.tcgplayer.com/product/248977_200w.jpg,2,2847,https://cpt.tcgcsv.com/zC_2,2024-07-26T14:54:37.85,1,"2+ Level 6 monsters
<br>Once per turn: You can detach 2 materials from this card, then target 1 face-up card your opponent controls and 1 card in either GY; banish them. If this Xyz Summoned card is destroyed by battle with an opponent's attacking monster, or by an opponent's card effect while in its owner's Monster Zone: You can Special Summon 2 ""Virtual World"" monsters with the same Type and Attribute as each other from your Deck. You can only use this effect of ""Virtual World Phoenix - Fanfan"" once per turn.",,0.04,0.25,1.49,0.09,0.09,1st Edition,MP21-EN193,Rare,EARTH,Wyrm,Xyz/Effect Monster,2600,2000,,
248978,Virtual World Shell - Jaja,Virtual World Shell Jaja,https://tcgplayer-cdn.tcgplayer.com/product/248978_200w.jpg,2,2847,https://cpt.tcgcsv.com/BC_2,2024-07-26T14:54:37.897,1,"2+ Level 3 monsters
<br>Once per turn: You can detach 1 material from this card, then target 1 face-up monster you control; it cannot be destroyed by battle until the end of your opponent's turn. Once per turn, after damage calculation, if this card battled an opponent's monster, while you have 2 or more monsters in your GY with the same original Type and Attribute as each other: You can banish that opponent's monster.",,0.02,0.24,1.49,0.1,0.04,1st Edition,MP21-EN192,Rare,EARTH,Wyrm,Xyz/Effect Monster,1000,2400,,
248979,Obsessive Uvualoop,Obsessive Uvualoop,https://tcgplayer-cdn.tcgplayer.com/product/248979_200w.jpg,2,2847,https://cpt.tcgcsv.com/CC_2,2024-07-26T14:54:37.977,1,"If this card is in your hand: You can target 1 Synchro Monster you control or in your GY; banish it, and if you do, Special Summon this card. If this card is in your GY: You can target 1 Synchro Monster you control or in your GY; banish it, and if you do, add this card to your hand. You can only use each effect of ""Obsessive Uvualoop"" once per turn.",,0.05,0.25,1.49,0.2,,1st Edition,MP21-EN010,Common,EARTH,Fiend,Tuner/Effect Monster,1200,1800,,
248980,Arc Rebellion Xyz Dragon,Arc Rebellion Xyz Dragon,https://tcgplayer-cdn.tcgplayer.com/product/248980_200w.jpg,2,2847,https://cpt.tcgcsv.com/DC_2,2024-07-26T14:54:38.043,1,"3 Level 5 monsters
<br>This Xyz Summoned card cannot be destroyed by card effects. You can detach 1 material from this card; this card gains ATK equal to the total original ATK of all other monsters on the field, then, if this card has a DARK Xyz Monster as material, negate the effects of all other face-up monsters on the field. After this effect resolves, you cannot declare attacks with other monsters for the rest of this turn. You can only use this effect of ""Arc Rebellion Xyz Dragon"" once per turn.",,0.27,1.0,9.99,1.28,1.97,1st Edition,MP21-EN191,Super Rare,DARK,Dragon,Effect Xyz Monster,3000,2500,,
248981,Raider's Knight,Raiders Knight,https://tcgplayer-cdn.tcgplayer.com/product/248981_200w.jpg,2,2847,https://cpt.tcgcsv.com/FC_2,2021-10-05T16:56:30.157,1,"2 Level 4 DARK monsters
<br>(This card is always treated as a ""The Phantom Knights"" and ""Raidraptor"" card.)
<br>You can detach 1 material from this card; Special Summon from your Extra Deck, 1 ""The Phantom Knights"", ""Raidraptor"", or ""Xyz Dragon"" Xyz Monster that is 1 Rank higher or lower than this card, by using this face-up card you control as material, but destroy it during your opponent's next End Phase. (This is treated as an Xyz Summon. Transfer its materials to the Summoned monster.) You can only use this effect of ""Raider's Knight"" once per turn.",,0.5,0.99,3.99,0.88,0.95,1st Edition,MP21-EN190,Rare,DARK,Warior,Xyz/Effect Monster,2000,0,,
248982,Penguin Brave,Penguin Brave,https://tcgplayer-cdn.tcgplayer.com/product/248982_200w.jpg,2,2847,https://cpt.tcgcsv.com/GC_2,2024-07-26T14:54:38.107,1,"1 Tuner + 1+ non-Tuner monsters
<br>Your opponent cannot target face-down Defense Position monsters you control with card effects. You can only use each of the following effects of ""Penguin Brave"" once per turn. If this card is Synchro Summoned: You can Special Summon 1 ""Penguin"" monster from your Deck in face-down Defense Position. When your opponent activates a monster effect (Quick Effect): You can flip 1 face-down Defense Position WATER monster you control face-up.",,0.03,0.21,1.49,0.08,0.06,1st Edition,MP21-EN189,Common,WATER,Aqua,Synchro/Effect Monster,2400,1200,,
248983,Infernoble Knight Captain Oliver,Infernoble Knight Captain Oliver,https://tcgplayer-cdn.tcgplayer.com/product/248983_200w.jpg,2,2847,https://cpt.tcgcsv.com/HC_2,2023-02-06T21:12:19.003,1,"1 Tuner + 1+ non-Tuner monsters
<br>When this card declares an attack while equipped: You can target 1 face-up card on the field; destroy it. During your Main Phase, except the turn this card was sent to the GY: You can target 1 Warrior monster you control; Special Summon this card from your GY as a Tuner, and if you do, equip that monster you control to this card as an Equip Spell that gives it 500 ATK. You can only use this effect of ""Infernoble Knight Captain Oliver"" once per turn.",,0.01,0.2,1.49,0.12,0.15,1st Edition,MP21-EN188,Common,FIRE,Warrior,Synchro/Effect Monster,2000,500,,
248984,Daruma Dropper,Daruma Dropper,https://tcgplayer-cdn.tcgplayer.com/product/248984_200w.jpg,2,2847,https://cpt.tcgcsv.com/JC_2,2024-07-26T14:54:38.17,1,"(Quick Effect): You can detach 1 material from an Xyz Monster you control, then target 1 face-up monster your opponent controls; change its ATK to 0 until the end of this turn. If an Xyz Monster you control would activate an effect by detaching material(s), except the turn this card was sent to the GY, you can banish this card from your GY instead of 1 of those materials. You can only use each effect of ""Daruma Dropper"" once per turn.",,0.01,0.1,1.49,0.04,0.01,1st Edition,MP21-EN011,Common,EARTH,Warrior,Effect Monster,700,1800,,
248985,Infernity Doom Archfiend,Infernity Doom Archfiend,https://tcgplayer-cdn.tcgplayer.com/product/248985_200w.jpg,2,2847,https://cpt.tcgcsv.com/KC_2,2024-07-26T14:54:38.257,1,"1 Tuner + 1+ non-Tuner monsters
<br>Once per turn: You can target 1 face-up card on the field; negate its effects (until the end of this turn), then if you have no cards in your hand, you can destroy it. While you have no cards in your hand, if this card battles an opponent's monster, any battle damage this card inflicts to your opponent is doubled. A DARK Synchro Monster that was Summoned using this card as material can make up to 2 attacks on monsters during each Battle Phase.",,0.01,0.17,1.49,0.06,0.03,1st Edition,MP21-EN187,Common,DARK,Fiend,Synchro/Effect Monster,2200,1600,,
248986,Transcicada,Transcicada,https://tcgplayer-cdn.tcgplayer.com/product/248986_200w.jpg,2,2847,https://cpt.tcgcsv.com/LC_2,2024-07-26T14:54:38.36,1,"If this card is Special Summoned: You can Special Summon 1 ""Moult Token"" (Insect/EARTH/Level 3/ATK 0/DEF 0). While the Token Special Summoned by this effect is on the field, you cannot Special Summon monsters from the Extra Deck, except Insect monsters. You can only use this effect of ""Transcicada"" once per turn.",,0.01,0.15,1.49,0.07,0.01,1st Edition,MP21-EN012,Common,EARTH,Insect,Tuner/Effect Monster,800,1000,,
